nom,french_attribut,CO2,main_type,sous_type
Estragon,frais,0.69,Aides culinaires et ingrédients divers,Herbes
Faisselle,6% MG environ,5.14,Produits Laitiers,Produits laitiers frais et assimilés
Falafel ou Boulette de pois-chiche et/ou fève,frite,0.84,Plats composés,Plats composés
Fenouil,cru,0.97,Fruits et Légumes,Légumes
Fenouil,graine,1.1,Aides culinaires et ingrédients divers,Epices
Fenugrec,graine,9.19,Aides culinaires et ingrédients divers,Epices
Figue,cru,0.62,Fruits et Légumes,Fruits
Figue,sèche,1.09,Fruits et Légumes,Fruits
Figue de Barbarie,pulpe et graines,0.37,Fruits et Légumes,Fruits
Flan aux ufs,rayon frais,1.77,Produits Laitiers,Produits laitiers frais et assimilés
Fleur de sel,"non iodée,  non fluorée",0.61,Aides culinaires et ingrédients divers,Sels
Flétan de l'Atlantique ou flétan blanc,cru,4.25,"Viandes, oeufs, poissons",Poissons crus
Flétan du Groënland ou flétan noir ou flétan commun,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Focaccia,garnie,3.23,Plats composés,Sandwichs
Foie,canard-dinde-lapin-oie-poulet-volaille,1.84,"Viandes, oeufs, poissons",
Foie,porc,2.1,"Viandes, oeufs, poissons",Viandes crues
Foie,veau,17.8,"Viandes, oeufs, poissons",Viandes crues
Foie,agneau,21.6,"Viandes, oeufs, poissons",Viandes crues
Foie,génisse,22.1,"Viandes, oeufs, poissons",Viandes crues
Fondue savoyarde,(fromages vin  pain),3.72,Plats composés,Plats composés
Fougasse,garnie,1.12,Plats composés,Sandwichs
Fraise,cru,0.5,Fruits et Légumes,Fruits
Fraise de saison,cru,0.48,Fruits et Légumes,Fruits
Fraise hors saison,cru,0.55,Fruits et Légumes,Fruits
Framboise,cru,1.47,Fruits et Légumes,Fruits
Framboise,surgelé,1.92,Fruits et Légumes,Fruits
Frik (blé dur immature concassé),cru,1.67,Produits céréaliers,"Pâtes, riz et céréales"
Frites de pommes de terre,surgelé,1.34,Fruits et Légumes,Pommes de terre et autres tubercules
Fromage blanc nature,0% MG,1.61,Produits Laitiers,Produits laitiers frais et assimilés
Fromage blanc nature,3% MG environ,1.84,Produits Laitiers,Produits laitiers frais et assimilés
Fromage blanc nature,gourmand,2.21,Produits Laitiers,Produits laitiers frais et assimilés
Fromage blanc ou spécialité laitière,aux fruits,1.46,Produits Laitiers,Produits laitiers frais et assimilés
Fromage de chèvre bûche,allégé en matière grasse,6.21,Produits Laitiers,Fromages
Fromage de chèvre frais,au lait cru (type palet ou crottin frais),5.17,Produits Laitiers,Fromages
Fromage de chèvre frais,au lait pasteurisé ou cru (type crottin frais ou bûchette fraîche),5.76,Produits Laitiers,Fromages
Fromage de chèvre frais,au lait pasteurisé (type bûchette fraîche),6.21,Produits Laitiers,Fromages
Fromage de chèvre lactique affiné,(type bûchette crottin Sainte-Maure)-au lait pasteurisé (type bûchette ou crottin),6.21,Produits Laitiers,
Fromage de chèvre lactique affiné au lait cru,(type Crottin de Chavignol Picodon  Rocamadour  Sainte-Maure de Touraine),6.43,Produits Laitiers,Fromages
Fromage de chèvre à pâte molle non pressée non cuite croûte naturelle,au lait pasteurisé,7.61,Produits Laitiers,Fromages
Fromage fondu double crème,environ 31% MG,5.22,Produits Laitiers,Fromages
Fromage frais type petit suisse,aromatisé aux fruits-aux fruits,1.8,Produits Laitiers,
Fromage frais type petit suisse,nature,1.95,Produits Laitiers,Produits laitiers frais et assimilés
Fromage rond,à pâte molle et croûte fleurie 5 à 11% MG type camembert allégé en matière grasse,4.98,Produits Laitiers,Fromages
Fromage rond,à pâte molle et croûte fleurie environ 11% MG type coulommiers allégé en matière grasse,5.03,Produits Laitiers,Fromages
Fromage rond,à pâte molle et croûte fleurie environ 5% MG type camembert allégé en matière grasse,5.05,Produits Laitiers,Fromages
Fromage type feta,au lait de vache,5.15,Produits Laitiers,Fromages
Fromage à pate pressée cuite type emmental ou emmenthal,allégé en matière grasse,6.22,Produits Laitiers,Fromages
Fromage à pâte molle et croûte lavée,allégé environ 13% MG,5.22,Produits Laitiers,Fromages
Fromage à pâte molle à croûte lavée,au lait pasteurisé (type Vieux Pané),5.42,Produits Laitiers,Fromages
Fruit de la passion ou maracudja,pulpe et pépins,0.89,Fruits et Légumes,Fruits
Fruit à pain,cru,0.43,Fruits et Légumes,Pommes de terre et autres tubercules
Fruits rouges,crus (framboises  fraises  groseilles  cassis),1.47,Fruits et Légumes,Fruits
Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus),séché ou déshydraté,6.58,Aides culinaires et ingrédients divers,Algues
Fève,fraîche-surgelé,0.5,Fruits et Légumes,
Fève,pelée,0.83,Fruits et Légumes,Légumineuses
Fève,sèche,0.95,Fruits et Légumes,Légumineuses
Fève à écosser,fraîche,0.95,Fruits et Légumes,Légumineuses
Galette de céréales aux légumes (sans soja),préemballé,1.52,Plats composés,Plats Végétariens
Galette de sarrasin,nature,0.91,Produits céréaliers,Gâteaux et pâtisseries
Galette des rois feuilletée,fourrée frangipane,3.72,Produits céréaliers,Gâteaux et pâtisseries
Galette ou pavé au blé et soja (convient aux véganes ou végétaliens),préemballé,1.82,Plats composés,Plats Végétariens
Galette ou pavé au soja et légumes,préemballé,1.91,Plats composés,Plats Végétariens
Gaufre croustillante (fine ou sèche),nature ou sucrée,2.47,Produits céréaliers,Gâteaux et pâtisseries
Gaufre croustillante (fine ou sèche),chocolatée,3.06,Produits céréaliers,Gâteaux et pâtisseries
Gaufre moelleuse (type bruxelloise ou liégeoise),nature ou sucrée,2.61,Produits céréaliers,Gâteaux et pâtisseries
Gaufre moelleuse (type bruxelloise ou liégeoise),chocolatée,5.33,Produits céréaliers,Gâteaux et pâtisseries
Gaufrette,fourrée vanille,2.88,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Gaufrette fourrée,aux fruits,2.29,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Gaufrette fourrée chocolat,préemballé,6.74,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Gaufrette fourrée fruits à coque (noisette,amande,3.04,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Gingembre,racine cru,0.45,Aides culinaires et ingrédients divers,Epices
Gingembre,poudre,0.98,Aides culinaires et ingrédients divers,Epices
Gnocchi à la pomme de terre,cru,0.82,Produits céréaliers,"Pâtes, riz et céréales"
Gnocchi à la semoule,cru,0.82,Produits céréaliers,"Pâtes, riz et céréales"
Gombo,fruit,1.61,Fruits et Légumes,Légumes
Goyave,pulpe,1.12,Fruits et Légumes,Fruits
Gracilaire ou ogonori (Gracilaria verrucosa),séché ou déshydratée,6.77,Aides culinaires et ingrédients divers,Algues
Grains de blé soufflés au miel ou caramel,enrichis en vitamines et minéraux,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Grains de blé soufflés chocolatés,enrichis en vitamines et minéraux,3.4,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Gratin ou cassolette de poisson et / ou fruits de mer,à cuire,8.83,Plats composés,Plats composés
Grenade,pulpe et pépins,0.49,Fruits et Légumes,Fruits
Grenadier (de roche),cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Grenadier bleu ou hoki de Nouvelle-Zélande,cru,6.79,"Viandes, oeufs, poissons",Poissons crus
Griotte,cru,0.98,Fruits et Légumes,Fruits
Grondin,cru,6.73,"Viandes, oeufs, poissons",Poissons crus
Grondin perlon,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Groseille,cru,1.8,Fruits et Légumes,Fruits
Groseille à maquereau,cru,1.32,Fruits et Légumes,Fruits
Guacamole,préemballé,1.47,Aides culinaires et ingrédients divers,Sauces
Gâteau au chocolat,cur fondant,7.94,Produits Laitiers,Produits laitiers frais et assimilés
Gâteau au chocolat type forêt noire (génoise au chocolat et crème multi-couches,avec ou sans cerises),2.96,Produits céréaliers,Gâteaux et pâtisseries
Gâteau au citron,tout type,1.8,Produits céréaliers,Gâteaux et pâtisseries
Gâteau basque,cerises-crème pâtissière,2.28,Produits céréaliers,
Gâteau de riz,appertisé,1.6,Produits Laitiers,Produits laitiers frais et assimilés
Gâteau de riz au caramel,rayon frais,1.63,Produits Laitiers,Produits laitiers frais et assimilés
Gâteau de semoule,appertisé,1.5,Produits Laitiers,Produits laitiers frais et assimilés
Gâteau de semoule aux raisins et caramel,rayon frais,1.49,Produits Laitiers,Produits laitiers frais et assimilés
Gâteau moelleux au chocolat,préemballé,9.34,Produits céréaliers,Gâteaux et pâtisseries
Gâteau mousse de fruits sur génoise,type miroir,2.0,Produits céréaliers,Gâteaux et pâtisseries
Gâteau sablé aux fruits,préemballé,2.46,Produits céréaliers,Gâteaux et pâtisseries
Gélatine,sèche,1.78,Aides culinaires et ingrédients divers,Ingrédients divers
Gésier,poulet,1.84,"Viandes, oeufs, poissons",Viandes crues
Haché végétal à base de soja,préemballé,1.77,Plats composés,Plats Végétariens
Haché à base de buf ou Préparation de viande hachée de boeuf,15% MG,16.7,"Viandes, oeufs, poissons",Autres produits à base de viande
Hamburger,provenant de fast food,17.5,Plats composés,Sandwichs
Hareng,cru,2.31,"Viandes, oeufs, poissons",Poissons crus
Hareng,frit-grillé/poêlé,2.8,"Viandes, oeufs, poissons",
Hareng fumé,au naturel-filet-à l'huile,2.19,"Viandes, oeufs, poissons",
Hareng gras,cru,2.31,"Viandes, oeufs, poissons",Poissons crus
Hareng maigre,cru,2.31,"Viandes, oeufs, poissons",Poissons crus
Haricot blanc,sec,0.59,Fruits et Légumes,Légumineuses
Haricot blanc,appertisé,0.8,Fruits et Légumes,Légumineuses
Haricot de Lima,cru,0.77,Fruits et Légumes,Légumes
Haricot de mer (Himanthalia elongata),séché ou déshydratée,6.58,Aides culinaires et ingrédients divers,Algues
Haricot flageolet,surgelé,0.5,Fruits et Légumes,Légumineuses
Haricot flageolet,vert,0.69,Fruits et Légumes,Légumineuses
Haricot flageolet,appertisé,1.16,Fruits et Légumes,Légumineuses
Haricot mungo,sec,0.7,Fruits et Légumes,Légumineuses
Haricot mungo germé ou pousse de soja,cru,0.77,Fruits et Légumes,Légumes
Haricot mungo germé ou pousse de soja,appertisé,1.65,Fruits et Légumes,Légumes
Haricot plat,cru,0.55,Fruits et Légumes,Légumes
Haricot rouge,sec,0.95,Fruits et Légumes,Légumineuses
Haricot rouge,appertisé,1.2,Fruits et Légumes,Légumineuses
Haricot vert,cru,0.45,Fruits et Légumes,Légumes
Haricot vert,surgelé,0.81,Fruits et Légumes,Légumes
Haricot vert,appertisé,1.12,Fruits et Légumes,Légumes
Haricot vert importé par avion,cru,6.51,Fruits et Légumes,Légumes
Haricots blancs à la sauce tomate,appertisés,0.61,Plats composés,Plats composés
Haricots verts,purée,0.8,Fruits et Légumes,Légumes
Herbes de Provence,séché,1.56,Aides culinaires et ingrédients divers,Herbes
Hoki,tout lieu de pêche,10.8,"Viandes, oeufs, poissons",Poissons crus
Huile de palme,sans précision,5.6,Matières grasses,Huiles et graisses végétales
Huile pour friture,sans précision,2.71,Matières grasses,Huiles et graisses végétales
Huître,sans précision,4.92,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Huître creuse,cru,4.92,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Huître plate,cru,4.92,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Igname,épluchée,0.59,Fruits et Légumes,Pommes de terre et autres tubercules
Ile flottante,rayon frais,1.83,Produits Laitiers,Produits laitiers frais et assimilés
Jambon cru,fumé,14.2,"Viandes, oeufs, poissons",Charcuteries
Jambon cuit,choix-de Paris-fumé-supérieur,7.1,"Viandes, oeufs, poissons",
Jambon sec,découenné,17.9,"Viandes, oeufs, poissons",Charcuteries
Joëls (petits poissons entiers) pour friture,crus,1.51,"Viandes, oeufs, poissons",Poissons crus
Julienne ou Lingue,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Julienne ou brunoise de légumes,surgelé,0.73,Fruits et Légumes,Légumes
Jus d'ananas,à base de concentré,4.72,Boissons,Boissons sans alcool
Jus d'ananas,pur jus,6.51,Boissons,Boissons sans alcool
Jus d'orange,maison,0.91,Boissons,Boissons sans alcool
Jus d'orange,à base de concentré,1.1,Boissons,Boissons sans alcool
Jus de carotte,pur jus,0.35,Boissons,Boissons sans alcool
Jus de citron,pur jus,0.79,Boissons,Boissons sans alcool
Jus de mangue,frais,0.48,Boissons,Boissons sans alcool
Jus de pamplemousse (pomelo),pur jus,1.0,Boissons,Boissons sans alcool
Jus de pomme,pur jus,0.5,Boissons,Boissons sans alcool
Jus de raisin,pur jus,0.45,Boissons,Boissons sans alcool
Jus de tomate,pur jus (aliment moyen),0.5,Boissons,Boissons sans alcool
Jus multifruit,pur jus-à base de concentré,0.91,Boissons,
Jus multifruit - base orange,multivitaminé,1.08,Boissons,Boissons sans alcool
Jus multifruit - base pomme,standard,0.73,Boissons,Boissons sans alcool
Kaki,pulpe,0.91,Fruits et Légumes,Fruits
Khatfa feuille de brick,préemballé,0.98,Produits céréaliers,Farines et pâtes à tarte
Kiwi,pulpe et graines,0.99,Fruits et Légumes,Fruits
Kombu breton (Laminaria digitata),séché ou déshydratée,6.58,Aides culinaires et ingrédients divers,Algues
Kombu ou kombu japonais (Laminaria japonica),séché ou déshydratée,6.77,Aides culinaires et ingrédients divers,Algues
Kombu royal (Saccharina latissima),séché ou déshydratée,6.77,Aides culinaires et ingrédients divers,Algues
Kumquat,sans pépin,0.54,Fruits et Légumes,Fruits
Lait concentré non sucré,entier,2.54,Produits Laitiers,Laits
Lait concentré sucré,entier,2.54,Produits Laitiers,Laits
Lait de brebis,entier,2.09,Produits Laitiers,Laits
Lait de chèvre,demi-écrémé-entier,1.48,Produits Laitiers,
Lait demi-écrémé,UHT-pasteurisé-à teneur réduite en lactose,1.32,Produits Laitiers,
Lait emprésuré aromatisé,rayon frais,1.56,Produits Laitiers,Produits laitiers frais et assimilés
Lait en poudre,demi-écrémé-entier-écrémé,14.8,Produits Laitiers,
Lait entier,UHT-pasteurisé,1.5,Produits Laitiers,
Lait fermenté ou spécialité laitière type yaourt,aromatisé,1.46,Produits Laitiers,Produits laitiers frais et assimilés
Lait fermenté ou spécialité laitière type yaourt,nature,2.12,Produits Laitiers,Produits laitiers frais et assimilés
Lait fermenté ou spécialité laitière type yaourt,aux fruits,2.13,Produits Laitiers,Produits laitiers frais et assimilés
Lait fermenté à boire,nature,1.46,Produits Laitiers,Produits laitiers frais et assimilés
Lait gélifié aromatisé,allégé en matière grasse et en sucre-rayon frais,1.52,Produits Laitiers,
Lait gélifié aromatisé,nappé caramel,1.69,Produits Laitiers,Produits laitiers frais et assimilés
Lait écrémé,UHT-pasteurisé,1.19,Produits Laitiers,
Laitue,cru,0.95,Fruits et Légumes,Légumes
Laitue de mer (Ulva sp.),séché ou déshydratée,6.58,Aides culinaires et ingrédients divers,Algues
Laitue iceberg,cru,0.91,Fruits et Légumes,Légumes
Laitue romaine,cru,0.95,Fruits et Légumes,Légumes
Langoustine,cru,24.2,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Langue,porc,2.1,"Viandes, oeufs, poissons",Viandes crues
Langue,veau,17.8,"Viandes, oeufs, poissons",Viandes crues
Langue,boeuf,22.1,"Viandes, oeufs, poissons",Viandes crues
Lapin,viande cru,6.98,"Viandes, oeufs, poissons",Viandes crues
Lapin de garenne,viande,6.98,"Viandes, oeufs, poissons",Viandes crues
Lard gras,cru,1.59,Matières grasses,Autres matières grasses
Lardon fumé,cru,6.39,"Viandes, oeufs, poissons",Charcuteries
Lardon nature,cru,6.39,"Viandes, oeufs, poissons",Charcuteries
Laurier,feuille,0.85,Aides culinaires et ingrédients divers,Epices
Lentille,germée-sèche,0.91,Fruits et Légumes,
Lentille,cuisinée,1.12,Fruits et Légumes,Légumineuses
Lentille blonde,sèche,0.91,Fruits et Légumes,Légumineuses
Lentille corail,sèche,0.91,Fruits et Légumes,Légumineuses
Lentille verte,sèche,0.91,Fruits et Légumes,Légumineuses
Levure de boulanger,déshydratée,5.61,Aides culinaires et ingrédients divers,Ingrédients divers
Levure de boulanger,compressée,5.71,Aides culinaires et ingrédients divers,Ingrédients divers
Lichen de mer ou pioca ou goémon rouge (Chondrus crispus),séché ou déshydraté,6.58,Aides culinaires et ingrédients divers,Algues
Lieu jaune ou colin,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Lieu noir,surgelé,4.35,"Viandes, oeufs, poissons",Poissons crus
Lieu noir,cru,5.88,"Viandes, oeufs, poissons",Poissons crus
Lieu ou colin d'Alaska,fumé,10.7,"Viandes, oeufs, poissons",Poissons cuits
Lieu ou colin d'Alaska,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Limande,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Limande-sole,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Limande-sole,panée,13.3,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Limonade,non sucrée-sucrée,0.51,Boissons,
Lin,brun-graine,3.6,Fruits et Légumes,
Lingue bleue ou Lingue,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Litchi,pulpe,0.54,Fruits et Légumes,Fruits
Liégeois ou viennois,(chocolat café  caramel ou vanille) rayon frais,4.63,Produits Laitiers,Produits laitiers frais et assimilés
Lotte ou baudroie,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Lotte ou baudroie,grillée/poêlée,13.2,"Viandes, oeufs, poissons",Poissons cuits
Loup tacheté,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Lupin,graine cru,1.17,Fruits et Légumes,Légumineuses
Luzerne,graine-graine germée,3.52,Fruits et Légumes,
Légumes,mélange surgelé,1.56,Fruits et Légumes,Légumes
Légumes (3-4 sortes en mélange),purée,0.98,Fruits et Légumes,Légumes
Légumes pour couscous,surgelés,0.8,Fruits et Légumes,Légumes
Légumes pour potages,surgelés,1.56,Fruits et Légumes,Légumes
Légumes pour ratatouille,surgelés,0.82,Fruits et Légumes,Légumes
Macédoine de légumes,surgelé,0.78,Fruits et Légumes,Légumes
Macédoine de légumes,appertisée,0.91,Fruits et Légumes,Légumes
Macédoine ou cocktail ou salade de fruits,au sirop léger,0.84,Fruits et Légumes,Fruits
Macédoine ou cocktail ou salade de fruits,au sirop,0.9,Fruits et Légumes,Fruits
Madeleine chocolatée,préemballé,7.58,Produits céréaliers,Gâteaux et pâtisseries
Madeleine ordinaire,préemballé,1.95,Produits céréaliers,Gâteaux et pâtisseries
Madeleine traditionnelle,pur beurre,3.53,Produits céréaliers,Gâteaux et pâtisseries
Mandarine,pulpe,0.42,Fruits et Légumes,Fruits
Mangue importée par avion,pulpe,10.7,Fruits et Légumes,Fruits
Mangue importée par bateau,pulpe,0.69,Fruits et Légumes,Fruits
Manioc,racine cru,0.54,Fruits et Légumes,Pommes de terre et autres tubercules
Maquereau,fumé,2.13,"Viandes, oeufs, poissons",Poissons cuits
Maquereau,cru,2.25,"Viandes, oeufs, poissons",
Maquereau,frit,2.73,"Viandes, oeufs, poissons",Poissons cuits
Maquereau,au naturel-filet au vin blanc-filet sauce moutarde-filet sauce tomate,8.51,"Viandes, oeufs, poissons",
Maquereau espagnol ou maquereau blanc ou billard,cru,2.25,"Viandes, oeufs, poissons",Poissons crus
Marjolaine,séché,1.55,Aides culinaires et ingrédients divers,Herbes
Maroilles,sans précision,5.47,Produits Laitiers,Fromages
Matière grasse laitière à 20% MG,légère,4.52,Matières grasses,Beurres
Matière grasse laitière à 25% MG,légère,5.08,Matières grasses,Beurres
Maïs doux,surgelé,1.01,Fruits et Légumes,Légumes
Maïs doux,en épis,1.23,Fruits et Légumes,Légumes
Maïs doux,appertisé,1.33,Fruits et Légumes,Légumes
Maïs entier,cru,0.81,Produits céréaliers,"Pâtes, riz et céréales"
Melon cantaloup (par ex.: Charentais,de Cavaillon) pulpe,0.93,Fruits et Légumes,Fruits
Melon miel ou melon honeydew,pulpe,0.93,Fruits et Légumes,Fruits
Meloukhia,feuilles de corète séché,1.5,Aides culinaires et ingrédients divers,Herbes
Menthe,fraîche,0.69,Aides culinaires et ingrédients divers,Herbes
Merguez,cru-porc et buf,25.0,"Viandes, oeufs, poissons",
Merguez,pur buf,30.4,"Viandes, oeufs, poissons",Charcuteries
Merguez,buf,32.3,"Viandes, oeufs, poissons",Charcuteries
Merguez,boeuf et mouton,39.55,"Viandes, oeufs, poissons",Charcuteries
Merlan,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Merlan,frit,13.2,"Viandes, oeufs, poissons",Poissons cuits
Merlan,pané,13.3,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Merlu,cru,6.79,"Viandes, oeufs, poissons",Poissons crus
Merlu,filet,7.29,"Viandes, oeufs, poissons",Poissons crus
Merlu blanc du Cap,surgelé,6.78,"Viandes, oeufs, poissons",Poissons crus
Mesclun ou salade,mélange de jeunes pousses,1.1,Fruits et Légumes,Légumes
Miettes de thon à l'huile,appertisées,6.11,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Miettes de thon à la tomate,appertisées,4.92,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Mil entier,cru,0.88,Produits céréaliers,"Pâtes, riz et céréales"
Milk-shake,provenant de fast food,1.36,Produits Laitiers,Produits laitiers frais et assimilés
Mimolette,sans précision,6.16,Produits Laitiers,Fromages
Mortadelle,porc et boeuf-pur porc,9.18,"Viandes, oeufs, poissons",
Morue,salée,12.0,"Viandes, oeufs, poissons",Poissons crus
Moule,appertisée,5.4,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Moule commune,cru,4.95,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Moule de Méditerranée,cru,4.95,"Viandes, oeufs, poissons",Mollusques et crustacés crus
Moules farcies,(matière grasse persillade),3.24,Plats composés,Plats composés
Moules à la sauce catalane ou escabèche (tomate),appertisée,3.7,"Viandes, oeufs, poissons",Produits à base de poissons et produits de la mer
Mousse au chocolat (base laitière),rayon frais,9.47,Produits Laitiers,Produits laitiers frais et assimilés
Mousse au chocolat traditionnelle,rayon frais,9.47,Produits Laitiers,Produits laitiers frais et assimilés
Mousse aux fruits,rayon frais,2.13,Produits Laitiers,Produits laitiers frais et assimilés
Mousse liégeoise,(chocolat café  caramel ou vanille) rayon frais,4.48,Produits Laitiers,Produits laitiers frais et assimilés
Mousse à la crème de marrons,rayon frais,2.13,Produits Laitiers,Produits laitiers frais et assimilés
Mouton,pied-tête,27.1,"Viandes, oeufs, poissons",
Mouton,viande-épaule,33.0,"Viandes, oeufs, poissons",
Mouton,gigot,41.3,"Viandes, oeufs, poissons",Viandes crues
Muesli croustillant au chocolat,avec ou sans fruits,2.14,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Muesli croustillant aux fruits et/ou fruits secs,graines (non enrichi en vitamines et minéraux),2.14,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Muesli croustillant aux fruits ou fruits secs,enrichi en vitamines et minéraux,2.14,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Muesli floconneux aux fruits ou fruits secs,enrichi en vitamines et minéraux-sans sucres ajoutés,2.14,Produits céréaliers,
Muffin,aux myrtilles ou au chocolat,4.24,Produits céréaliers,Gâteaux et pâtisseries
Muffin anglais,complet,0.97,Produits céréaliers,Pains et viennoiseries
Muffin anglais,petit pain spécial,1.98,Produits céréaliers,Pains et viennoiseries
Mulet,cru,10.8,"Viandes, oeufs, poissons",Poissons crus
Multi-céréales soufflées ou extrudées,enrichies en vitamines et minéraux,3.56,Produits céréaliers,Céréales de petit-déjeuner et biscuits
Myrtille,cru,0.88,Fruits et Légumes,Fruits
Myrtille,surgelé,1.33,Fruits et Légumes,Fruits
Mâche,cru,0.95,Fruits et Légumes,Légumes
Mélange de céréales et légumineuses,cru,0.79,Produits céréaliers,"Pâtes, riz et céréales"
Mérou,cru,4.25,"Viandes, oeufs, poissons",Poissons crus
Mûre (de ronce),cru,0.94,Fruits et Légumes,Fruits
Mûre (de ronce),surgelé,1.39,Fruits et Légumes,Fruits
Mûre noire (du mûrier),cru,1.21,Fruits et Légumes,Fruits
Navet,pelé,0.36,Fruits et Légumes,Légumes
Navet,surgelé,0.74,Fruits et Légumes,Légumes
Nectar multifruit,multivitaminé-standard,0.91,Boissons,
Nectarine ou brugnon,pulpe et peau,0.64,Fruits et Légumes,Fruits
Nem ou Pâté impérial,au porc-au poulet-aux crevettes et/ou au crabe,3.35,Plats composés,
Noisette grillée,salée,4.93,Fruits et Légumes,Fruits à coque et graines oléagineuses
Noix,fraîche-séché,4.17,Fruits et Légumes,
Noix de cajou,grillée,3.62,Fruits et Légumes,Fruits à coque et graines oléagineuses
Noix de coco,amande-amande immature-amande mûre,2.5,Fruits et Légumes,
Noix de macadamia,grillée,3.65,Fruits et Légumes,Fruits à coque et graines oléagineuses
Noix de pécan,salées,3.65,Fruits et Légumes,Fruits à coque et graines oléagineuses
Nori (Porphyra sp.),séché ou déshydratée,6.77,Aides culinaires et ingrédients divers,Algues
Nouilles asiatiques aromatisées,déshydratées,1.67,Produits céréaliers,"Pâtes, riz et céréales"
Nouilles asiatiques cuites,aromatisées-nature,1.34,Produits céréaliers,
Nuggets soja et blé (convient aux véganes ou végétaliens),préemballé,1.57,Plats composés,Plats Végétariens
Oeuf,cru,3.19,"Viandes, oeufs, poissons",Oeufs
Oeuf,au plat,3.56,"Viandes, oeufs, poissons",Oeufs
Oeuf,dur,3.67,"Viandes, oeufs, poissons",Oeufs
Oeuf,poché-à la coque,3.82,"Viandes, oeufs, poissons",
Oeuf,blanc (blanc d'oeuf)-jaune (jaune d'oeuf),3.83,"Viandes, oeufs, poissons",
Oeuf,brouillé,4.62,"Viandes, oeufs, poissons",Oeufs
Oeuf,en poudre,5.13,"Viandes, oeufs, poissons",Oeufs
Oeuf d'oie,cru,3.19,"Viandes, oeufs, poissons",Oeufs
Oeuf de cane,cru,3.19,"Viandes, oeufs, poissons",Oeufs
Oeuf de dinde,cru,2.8,"Viandes, oeufs, poissons",Oeufs
Oie,viande cru-viande et peau,6.98,"Viandes, oeufs, poissons",
Oignon,cru,0.39,Fruits et Légumes,Légumes
Oignon,surgelé,0.92,Fruits et Légumes,Légumes
Oignon,séché,3.68,Fruits et Légumes,Légumes
Olives vertes,"fourrées ou farcies (anchois  poivrons, etc)",0.89,Aides culinaires et ingrédients divers,Condiments
Omble chevalier,cru,5.3,"Viandes, oeufs, poissons",Poissons crus
Orange,pulpe,0.64,Fruits et Légumes,Fruits
Orge entière,cru,0.79,Produits céréaliers,"Pâtes, riz et céréales"
Orge perlée,cru,0.79,Produits céréaliers,"Pâtes, riz et céréales"
Origan,séché,1.55,Aides culinaires et ingrédients divers,Herbes
Orphie commune,cru,1.94,"Viandes, oeufs, poissons",Poissons crus
Oseille,cru,0.63,Fruits et Légumes,Légumes
Pain,baguette,0.69,Produits céréaliers,Pains et viennoiseries
Pain,baguette ou boule,0.77,Produits céréaliers,Pains et viennoiseries
Pain,sans gluten,1.81,Produits céréaliers,Pains et viennoiseries
Pain au chocolat,préemballé,5.2,Produits céréaliers,Pains et viennoiseries
Pain au chocolat feuilleté,artisanal,5.2,Produits céréaliers,Pains et viennoiseries
Pain au lait,artisanal-préemballé,2.55,Produits céréaliers,
Pain au lait aux pépites de chocolat,préemballé,3.48,Produits céréaliers,Pains et viennoiseries
Pain courant français,400g ou boule,0.69,Produits céréaliers,Pains et viennoiseries
Pain de mie,sans croûte,1.26,Produits céréaliers,Pains et viennoiseries
Pain de mie,multicéréale,1.43,Produits céréaliers,Pains et viennoiseries
Pain de mie,au son-complet-courant,1.76,Produits céréaliers,
Pain de mie brioché,préemballé,1.87,Produits céréaliers,Pains et viennoiseries
Pain de seigle,et froment,0.67,Produits céréaliers,Pains et viennoiseries
