CO2,nom
16.8,Appareil à raclettes 6-8p 
47.3,Aspirateur ménager avec sac
52.4,Aspirateur ménager sans sac
83.0,Aspirateur professionnel à traineaux
160.0,Ballon électrique chauffe-eau 200L 
